ad_name,ad_id,talent,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_New-Zealand_Form_Video_Testimonial-Shalini_170226,120242178382950529,Shalini,36159,2,0,0,0,,Testimonial,Video,Influencer,Shalini,UGC,General (BAU),Parent Peace of Mind,Social Proof,English
ANZ-NZ_FB_Leads_Conv_PayU_New-Zealand_Video_Testimonial2-Shalini_250226,120242507480770529,Shalini,14959,0,0,0,0,,Testimonial,Video,Influencer,Shalini,UGC,HNI (BAU),Grades & School,Student Outcomes,English
ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial2-Shalini_260226,120242579935510529,Shalini,13117,1,1,1,0,,Testimonial,Video,Influencer,Shalini,UGC,Lookalike (BAU),Confidence | Grades & School,Social Proof,English
ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial2-Shalini_190226,120242204454250529,Shalini,270371,33,22,13,6,45062.0,Testimonial,Video,Influencer,Shalini,UGC,Lookalike (BAU),Confidence | Grades & School | Parent Peace of Mind,Student Outcomes | Parent Peace of Mind,English
ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Influencer-Sahar_210426,120245405922870529,Sahar,102704,19,17,10,3,34235.0,,,,,,,,,
ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Edited-Deepthi_250326,120243755015130529,Deepthi,16066,0,0,0,0,,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,Interest (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Edited-Jia_250326,120243753300320529,Jia,28828,1,1,0,0,,Testimonial,Video,Influencer,Jia,UGC,General (BAU),Confidence | Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Influencer-Sahar_210426,120245401638320529,Sahar,51844,4,4,4,1,51844.0,,,,,,,,,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Priya-Anand_270426,120245840358690529,Priya Anand,2982,0,0,0,0,,,,,,,,,,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Sahar_090426,120244693754020529,Sahar,194163,20,13,19,6,32361.0,,,,,,,,,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Seema_270426,120245845647790529,Seema,6715,0,0,0,0,,,,,,,,,,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Shalini_270426,120245843141510529,Shalini,30705,0,0,0,0,,,,,,,,,,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jayashree_200326,120243664896190529,Jayashree,28048,1,1,1,1,28048.0,Testimonial,Video,Influencer,Jayashree,UGC,Influencer,Confidence,Social Proof,English
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jugnu_200326,120243665219520529,Jugnu,203515,24,13,22,8,25439.0,Testimonial,Video,Influencer,Jugnu,UGC,Influencer,Confidence,Student Outcomes,English
ANZ_FB_Leads_Conv_Locations_Australia_Video_Testimonial-Shalini_170226,120242178004990529,Shalini,20230,0,0,0,0,,Testimonial,Video,Influencer,Shalini,UGC,Geo (BAU),Personalization,Student Outcomes,English
ANZ_FB_Leads_Conv_Parents-Pri+Sec-Inf_Australia_Video_Influencer-Heena_160226,120242101740470529,Heena,26201,1,0,0,0,,Testimonial,Video,Influencer,Heena,UGC,Influencer (BAU),Confidence | Grades & School | Parent Peace of Mind,Social Proof | Parent Peace of Mind,English
ANZ_FB_Leads_Conv_Razorpay_Australia_Video_Influencer-Sahar_210426,120245401817880529,Sahar,54584,5,4,5,1,54584.0,,,,,,,,,
ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Influencer-Sahar_090426,120244693522100529,Sahar,63286,6,4,6,3,21096.0,,,,,,,,,
ANZ_FB_Leads_Conv_int4C_Australia_Video_Influencer-Sahar_210426,120245405877590529,Sahar,14409,0,0,0,0,,,,,,,,,,
ANZ_FB_Leads_Conv_int4C_Australia_Video_Jugnu_210426,120245405877600529,Jugnu,24481,3,3,3,0,,,,,,,,,,
CAN_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Heena_030226,120241716956060529,Heena,10400,0,0,0,0,,Testimonial,Video,Influencer,Heena,UGC,Influencer (BAU),Personalization,Student Outcomes,English
CAN_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,120241716956080529,Keerthi,4415,0,0,0,0,,,,,,,,,,
CAN_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,120241716956070529,Priyanshul,13700,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
Influencer-Video_Priyanshul_260126,120237579406190278,Priyanshul,8289,0,0,0,0,,Testimonial,Video,Influencer,Priyanshul,UGC,NRI (PLA),Confidence | Grades & School,Student Outcomes,English
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Keerthi_200426,120245400563480529,Keerthi,2621,2,2,2,1,2621.0,,,,,,,,,
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Priyanshul_200426,120245400563470529,Priyanshul,4388,0,0,0,0,,,,,,,,,,
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Video_Shalini_Inhouse_Edit_200426,120245400563500529,Shalini,4559,0,0,0,0,,,,,,,,,,
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Video_Shweta_Negi_200426,120245400563490529,Shweta Negi,64426,9,8,9,3,21476.0,,,,,,,,,
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,120234332269380278,Deepthi,6802,0,0,0,0,,Testimonial,Video,Parent,Deepthi,UGC,Vernacular,Grades & School,Student Outcomes,Telugu
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,120235206502310278,Deepthi,3865,0,0,0,0,,Testimonial,Video,Parent,Deepthi,UGC,Vernacular,Grades & School,Student Outcomes,Telugu
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,120235847446030278,Deepthi,3094,0,0,0,0,,Testimonial,Video,Parent,Deepthi,UGC,Vernacular,Grades & School,Student Outcomes,Telugu
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,120235847446080278,Deepthi,2221,0,0,0,0,,Testimonial,Video,Parent,Deepthi,UGC,Vernacular,Grades & School,Student Outcomes,Telugu
USA_AKT_FB_Leads_Conv_Expats_NRI_Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_180226,120238541777670278,Deepthi,8873,0,0,0,0,,Testimonial,Video,Influencer,Deepthi Bandaru,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Telugu
USA_FB_Leads_Conv_Advantage_Audience_Gujarati_35_55_LeadGen_NA_Video_Gujarati-Testimonial-Nidhi-Shah-020126,120236834449590278,Nidhi,9111,1,1,1,1,9111.0,Testimonial,Video,Influencer,Nidhi,UGC,Vernacular (BAU),Confidence,Student Outcomes,Gujarati
USA_FB_Leads_Conv_Advantage_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Anudeep_US_150426,120241481364500278,Anudeep,12360,1,1,0,0,,Testimonial,Video,Influencer,Anudeep,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Telugu
USA_FB_Leads_Conv_Advantage_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Keerthi_US_150426,120241481364510278,Keerthi,1758,0,0,0,0,,,,,,,,,,
