ad_name,talent,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,confidence,notes
ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_New-Zealand_Form_Video_Testimonial-Shalini_170226,Shalini,36159,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
ANZ-NZ_FB_Leads_Conv_PayU_New-Zealand_Video_Testimonial2-Shalini_250226,Shalini,14959,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial2-Shalini_260226,Shalini,13117,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial2-Shalini_190226,Shalini,270371,6,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Influencer-Sahar_210426,Sahar,102704,3,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Edited-Deepthi_250326,Deepthi,16066,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Edited-Jia_250326,Jia,28828,0,Behavioral-Outcome,1-1-Personalization,Recommendation,Anonymous,"Engagement,Foundation",UGC-polished,English,I'm glad that my daughter is finally engaged with something productive.,I can't recommend this enough.,"They're building strong math foundation, playing fun math games.",High,
ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Influencer-Sahar_210426,Sahar,51844,1,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Priya-Anand_270426,Priya Anand,2982,0,Enrichment,MathFit,Free-Class,Anonymous,"Foundation,Engagement",UGC-polished,English,She's four. And she counts everything... I don't want to waste it.,Book a free Cuemath trial class and see how a dedicated tutor keeps that curiosity growing.,Cuemath has made my child MathFit.,High,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Sahar_090426,Sahar,194163,6,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
