ad_name,ad_id,canonical,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-30-Day-Math-Kangaroo-Prep-261225,120236612461480278,30-day-math-kangaroo-prep,1121428,137,125,52,39,28755.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Competition Prep,Math Competition,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-180226,120238534256140278,india-best-math-tutors,724384,79,45,20,7,103483.0,Graphic Explainer,Static,Parent,,Static Graphic,NRI (BAU),Tutor Quality,Expert Tutors,English
Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Video_Updated-Testimonial-Surveen-15s_170925,120233924431250529,updated-testimonial-surveen-15s,637727,72,40,38,25,25509.0,,,,,,,,,
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_High_School_LeadGen_NA_Static-High-School-Master-Algebra-White-150126 – Copy,120237246711350278,high-school-master-algebra-white- – copy,619526,62,52,24,18,34418.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Foundation Building,Building Foundations,English
USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Kaasi-22s-Telugu_100825,120229628593380278,testimonial-kaasi-22s-telugu,611121,20,20,11,6,101854.0,Testimonial,Video,Parent,Kaasi,UGC,NRI (BAU),Grades & School,Student Outcomes,Telugu
USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Kiran-22s-Telugu_101125,120236120806980278,testimonial-kiran-22s-telugu,579564,63,63,22,12,48297.0,Testimonial,Video,Parent,Kiran,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Telugu
MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_20-Oct-2025,120235741224080529,o-strong-foundations_20-oct-2025,573239,45,17,24,12,47770.0,,,,,,,,,
MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Video-Satish-English-Testimonial-07-Nov-2025,120241811897010529,satish-english-testimonial-07-nov-2025,567106,79,44,74,27,21004.0,Testimonial,Video,Parent,Satish,UGC,General,Grades & School,Student Outcomes,English
MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_LP_Signup_Premium-Ecom-Brands_NA_Video_Cuemath-Hero-5-21s_111225,120241811897090529,cuemath-hero-5-21s,562566,95,32,88,39,14425.0,Graphic Explainer,Static,,,Static Graphic,General,Foundation Building,Building Foundations,English
USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,120237702751650278,usa_pfx_fb_leads_conv_lal_0-2%_engaged_priyanshul_ig_video,556831,69,69,25,14,39774.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Static-High-School-Master-Algebra-White-150126,120241619802110529,high-school-master-algebra-white,552788,40,30,34,14,39485.0,Graphic Explainer,Static,,,Static Graphic,General,Grades & School,Building Foundations,English
MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Static-Parents-believed-offline-was-better-31-Oct-2025,120236480225950529,parents-believed-offline-was-better-31-oct-2025,541359,18,1,17,5,108272.0,Graphic Explainer,Static,Parent,,Static Graphic,Creative Testing (BAU),Parent Peace of Mind,Parent Peace of Mind,English
Herocut_05_041225,120235498831630278,herocut_05,535938,56,14,47,8,66992.0,Testimonial,Static,Child,,UGC,NRI (PLA),Confidence,Student Outcomes,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New-Year_LeadGen_NA_Static-2026-Stands-for-Math-Confidence-221225,120236422200680278,2026-stands-for-math-confidence,497868,61,61,32,23,21646.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Confidence | Foundation Building,Building Foundations | Student Outcomes,English
ANZ_FB_Leads_Conv_India-Expats_Australia_Static_W-Testimonial-NAPLAN_040226,120241643063810529,anz_fb_leads_conv_india-expats_australia_static_w-testimonia,482258,99,18,21,7,68894.0,Testimonial,Static,Parent,,Static Graphic,NRI (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_English-Generic-Content_NA_Video-Testimonial-Gunjan-13s_020126,120242213711660529,testimonial-gunjan-13s,445803,26,22,26,9,49534.0,Testimonial,Video,Parent,Gunjan,UGC,NRI,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,120236941193920278,priyanshul,432664,17,17,16,4,108166.0,Testimonial,Video,Influencer,Priyanshul,UGC,Influencer (BAU),Confidence | Grades & School | Thinking vs Calculating,Student Outcomes | Social Proof,English
CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Video_Testimonial_Gunjan-20s_020126,120237705530660278,testimonial_gunjan-20s,431204,43,43,38,16,26950.0,Testimonial,Video,Parent,Gunjan,UGC,General,Parent Peace of Mind,Student Outcomes,English
CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Static-Strong-math-Indian-tutors-310126,120237780336780278,strong-math-indian-tutors,406440,57,55,40,17,23908.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Tutor Quality,Expert Tutors,English
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,120238536374710278,video_shweta_negi,392208,27,26,26,9,43579.0,Testimonial,Video,Influencer,Shweta Negi,UGC,Influencer (BAU),Confidence | Grades & School | Foundation Building,Social Proof | Student Outcomes,English
