ad_name,section,label,spend,TD,match_slug,notion_id,match_score
ANZ_FB_Leads_Conv_Int-4C_Australia_Video_Testimonial-Mohit-Kukreja_060126,Testimonials,Mohit Kukreja,188745,12,,,0.0
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Testimonial-Mohit-Kukreja_280126,Testimonials,Mohit Kukreja,144478,2,,,0.0
ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Testimonial-Lakshmi_200326,Testimonials,Lakshmi,112337,9,,,0.0
ANZ_FB_Leads_Conv_NRI-Cities-Female_Australia_Video_Testimonial-Lakshmi_200326,Testimonials,Lakshmi,94391,2,,,0.0
USA_FB_Leads_Conv_LAL_PayU_New_Audience_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Shalini_Dropati_180226,Testimonials,Shalini Dropati,66334,3,,,0.0
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Shalini_Dropati_180226,Testimonials,Shalini Dropati,51441,2,,,0.0
USA_FB_Leads_Conv_PayU_New_Audience_35-55_English_Testimonials_Part2_LeadGen_NA_Video_English_Testimonial_Grade2_Likita_090426,Testimonials,Likita Grade 2,52849,3,,,0.0
USA_FB_Leads_Conv_Razorpay_NRI_Audience_35-55_English_Testimonials_LeadGen_NA_Video_English_Testimonial_Grade2_Likita_090426,Testimonials,Likita Grade 2,2609,0,,,0.0
AI_Video_Math_Kangaroo_030326,AI Videos,AI Math Kangaroo,37802,0,,,0.0
AI-Video-High-School_030426,AI Videos,AI High School,138090,0,ai video high school,3148897caec780448dfac81e9d71577c,0.4
AI-Video-High-School_060326,AI Videos,AI High School,66676,1,ai video high school,3148897caec780448dfac81e9d71577c,0.4
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_AI_Videos_Arya_240426,AI Videos,AI Arya,36148,0,,,0.0
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_AI-Arya_240226,AI Videos,AI Arya,17865,0,,,0.0
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_NAPLAN-AI_160326,AI Videos,AI NAPLAN,18072,1,,,0.0
AI-Video-MathFit_250226,AI Videos,AI MathFit,125127,2,ai video arya,30d8897caec78080beceec33689a17a9,0.25
AI-Video-MathFit_030426,AI Videos,AI MathFit,61631,0,ai video arya,30d8897caec78080beceec33689a17a9,0.25
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Christmas_LeadGen_NA_Video-Christmas-High-School-Testimonial-Madhavi-Christmas-Badge-121225,High School,Madhavi HS Christmas,212910,16,high school testimonial madhavi with w o xmas badge,2c68897caec780008790f743dbfcfeee,0.38
