section,label,ad_name,spend,QL,TD,CPTD,current_pain_benefit,current_content_format,current_talent_type,current_talent_name,current_production_style,current_campaign_audience,current_headline_theme,current_language
Testimonials,Mohit Kukreja,ANZ_FB_Leads_Conv_Int-4C_Australia_Video_Testimonial-Mohit-Kukreja_060126,188745,35,12,15729.0,Confidence | Grades & School | Foundation Building,Testimonial,Parent,Mohit Kukreja,UGC,NRI (BAU),Student Outcomes | Social Proof,English
Testimonials,Mohit Kukreja,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Testimonial-Mohit-Kukreja_280126,144478,11,2,72239.0,Grades & School,Testimonial,Parent,Mohit Kukreja,UGC,Lookalike (BAU),Student Outcomes,English
Testimonials,Lakshmi,ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Testimonial-Lakshmi_200326,112337,14,9,12482.0,Parent Peace of Mind,Testimonial,Parent,Lakshmi,UGC,General,Student Outcomes,English
Testimonials,Lakshmi,ANZ_FB_Leads_Conv_NRI-Cities-Female_Australia_Video_Testimonial-Lakshmi_200326,94391,6,2,47196.0,Grades & School,Testimonial,Parent,Lakshmi,UGC,NRI,Student Outcomes,English
Testimonials,Shalini Dropati,USA_FB_Leads_Conv_LAL_PayU_New_Audience_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Shalini_Dropati_180226,66334,6,3,22112.0,Grades & School,Testimonial,Influencer,Shalini,UGC,Lookalike (BAU),Student Outcomes,English
Testimonials,Shalini Dropati,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Shalini_Dropati_180226,51441,4,2,25721.0,Grades & School,Testimonial,Influencer,Shalini,UGC,NRI (BAU),Student Outcomes,English
Testimonials,Likita Grade 2,USA_FB_Leads_Conv_PayU_New_Audience_35-55_English_Testimonials_Part2_LeadGen_NA_Video_English_Testimonial_Grade2_Likita_090426,52849,7,3,17617.0,Grades & School,Testimonial,Parent,Likita,UGC,Lookalike (BAU),Student Outcomes,English
Testimonials,Likita Grade 2,USA_FB_Leads_Conv_Razorpay_NRI_Audience_35-55_English_Testimonials_LeadGen_NA_Video_English_Testimonial_Grade2_Likita_090426,2609,0,0,,,,,,,,,
AI Videos,AI Math Kangaroo,AI_Video_Math_Kangaroo_030326,37802,2,0,,Competition Prep,Product Demo,,,AI Generated,NRI (PLA),Math Competition,English
AI Videos,AI High School,AI-Video-High-School_030426,138090,34,0,,Grades & School,Graphic Explainer,,,Static Graphic,NRI (PLA),Other,English
AI Videos,AI High School,AI-Video-High-School_060326,66676,11,1,66676.0,Grades & School,Static Graphic,,,Static Graphic,NRI (PLA),Personalized Learning,English
AI Videos,AI Arya,USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_AI_Videos_Arya_240426,36148,1,0,,,,,,,,,
AI Videos,AI Arya,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_AI-Arya_240226,17865,1,0,,Grades & School,Talking Head,Tutor,Arya,AI Generated,Lookalike (BAU),Student Outcomes,English
AI Videos,AI NAPLAN,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_NAPLAN-AI_160326,18072,1,1,18072.0,Grades & School,Product Demo,,,AI Generated,Lookalike (BAU),Student Outcomes,English
AI Videos,AI MathFit,AI-Video-MathFit_250226,125127,20,2,62564.0,Personalization,Product Demo,,,AI Generated,NRI (PLA),Personalized Learning,English
AI Videos,AI MathFit,AI-Video-MathFit_030426,61631,9,0,,Personalization,Product Demo,,,AI Generated,NRI (PLA),Personalized Learning,English
High School,Madhavi HS Christmas,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Christmas_LeadGen_NA_Video-Christmas-High-School-Testimonial-Madhavi-Christmas-Badge-121225,212910,34,16,13307.0,Grades & School,Testimonial,Parent,Madhavi,UGC,NRI (BAU),Student Outcomes,English
High School,Manan Sir SAT Prep,USA_FB_Leads_Conv_LAL_Enrolled_35-55_High_School_LeadGen_NA_High-School-SAT-Prep-Manan-Sir-Video-130126,204275,30,9,22697.0,Competition Prep,Talking Head,Tutor,Manan Sir,Studio,Lookalike (BAU),Expert Tutors,English
High School,Manan Sir SAT Prep,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Video-High-School-SAT-Prep-Manan-Sir-Video-130126,71180,3,2,35590.0,Competition Prep,Talking Head,Tutor,Manan Sir,Studio,General,Math Competition,English
High School,HS Master Algebra,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_High_School_LeadGen_NA_Static-High-School-Master-Algebra-White-150126 – Copy,619526,62,18,34418.0,Foundation Building,Graphic Explainer,,,Static Graphic,NRI (BAU),Building Foundations,English
High School,HS Master Algebra,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Static-High-School-Master-Algebra-White-150126,552788,40,14,39485.0,Grades & School,Graphic Explainer,,,Static Graphic,General,Building Foundations,English
High School,High School LeadGen Static,USA_FB_Leads_Conv_LAL_Enrolled_35-55_High_School_LeadGen_NA_Static-High-School-Master-Algebra-White-150126,246794,38,1,246795.0,Grades & School,Graphic Explainer,,,Static Graphic,Lookalike (BAU),Building Foundations,English
Chinese,Strong Foundations Chinese,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_20-Oct-2025,573239,45,12,47770.0,,,,,,,,
Chinese,Strong Foundations Chinese,USA_PFX_FB_Leads-Conv_NA_Int-Chinese-Int-Non-NRI_LeadGen_NA_Static_W-Ch-Strong-Foundations_241025,335229,1,0,,Foundation Building,Graphic Explainer,,,Static Graphic,NRI (BAU),Building Foundations,English
Chinese,Y-Ch-Child,Static_Y-Ch-Child_280126,118354,11,5,23671.0,Thinking vs Calculating,Graphic Explainer,Child,,Static Graphic,NRI (PLA),Fun & Engagement,English
Chinese,Y-Ch-Child,Static_Y-Ch-Child_230226,72177,8,2,36089.0,Thinking vs Calculating,Graphic Explainer,Child,,Static Graphic,Chinese (PLA),Fun & Engagement,English
Chinese,Hero-28s Chinese,Video_Chinese-Hero-28s_280126,38334,6,2,19167.0,Foundation Building,Skit/Story,Child,,Studio,NRI (PLA),Student Outcomes,Other
Chinese,Chinese Ace Math Comp,Static_Chinese_Ace_math_competition_030426,55559,15,2,27780.0,Competition Prep,Testimonial,Child,,Static Graphic,NRI (PLA),Math Competition,English
Chinese,Chinese Excel in Math,Static_Chinese_Excel_in_Math_030426,20728,6,0,,Grades & School,Graphic Explainer,,,Static Graphic,NRI (PLA),Student Outcomes,English
Chinese,Chinese Excel in Math,Static_Chinese_Excel_in_Math_020426,4164,4,0,,Grades & School,Graphic Explainer,,,Static Graphic,Chinese (PLA),Student Outcomes,English
NRI Contextual,India Best Math Tutors,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-180226,724384,79,7,103483.0,Tutor Quality,Graphic Explainer,Parent,,Static Graphic,NRI (BAU),Expert Tutors,English
NRI Contextual,India Best Math Tutors,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-300126,298628,35,11,27148.0,Tutor Quality,Graphic Explainer,Parent,,Static Graphic,NRI (BAU),Expert Tutors,English
NRI Contextual,Master Math Winter,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Master-Math-this-Winter-White-060226,351921,36,11,31993.0,Foundation Building,Graphic Explainer,,,Static Graphic,NRI,Promotional Offer,English
NRI Contextual,Master Math Winter,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Master-Math-this-Winter-Yellow-060226,97552,3,0,,Foundation Building,Graphic Explainer,,,Static Graphic,NRI,Promotional Offer,English
NRI Contextual,Color Their Future Holi,USA_FB_Leads_Conv_LAL_Enrolled_Signup_LP_Holi_Creatives_NA_Static_Color_Their_Future_200226,202150,11,6,33692.0,Confidence | Grades & School | Foundation Building,Graphic Explainer,,,Static Graphic,General,Student Outcomes | Personalized Learning,English
