ad_name,ad_id,canonical,notion_id,notion_slug,match_score,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-30-Day-Math-Kangaroo-Prep-261225,120236612461480278,30-day-math-kangaroo-prep,3148897caec7805985add806bbf40eb4,ai video math kangaroo,0.4,1121428,137,125,52,39,28755.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Competition Prep,Math Competition,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-180226,120238534256140278,india-best-math-tutors,,,0.0,724384,79,45,20,7,103483.0,Graphic Explainer,Static,Parent,,Static Graphic,NRI (BAU),Tutor Quality,Expert Tutors,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_High_School_LeadGen_NA_Static-High-School-Master-Algebra-White-150126 – Copy,120237246711350278,high-school-master-algebra-white- – copy,3148897caec780448dfac81e9d71577c,ai video high school,0.4,619526,62,52,24,18,34418.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Foundation Building,Building Foundations,English
MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_20-Oct-2025,120235741224080529,o-strong-foundations_20-oct-2025,,,0.0,573239,45,17,24,12,47770.0,,,,,,,,,
MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_LP_Signup_Premium-Ecom-Brands_NA_Video_Cuemath-Hero-5-21s_111225,120241811897090529,premium-ecom-brands_na_video_cuemath-hero-5-21s,,,0.0,562566,95,32,88,39,14425.0,Graphic Explainer,Static,,,Static Graphic,General,Foundation Building,Building Foundations,English
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Static-High-School-Master-Algebra-White-150126,120241619802110529,high-school-master-algebra-white,3148897caec780448dfac81e9d71577c,ai video high school,0.4,552788,40,30,34,14,39485.0,Graphic Explainer,Static,,,Static Graphic,General,Grades & School,Building Foundations,English
MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Static-Parents-believed-offline-was-better-31-Oct-2025,120236480225950529,parents-believed-offline-was-better-31-oct-2025,,,0.0,541359,18,1,17,5,108272.0,Graphic Explainer,Static,Parent,,Static Graphic,Creative Testing (BAU),Parent Peace of Mind,Parent Peace of Mind,English
Herocut_05_041225,120235498831630278,herocut_05,,,0.0,535938,56,14,47,8,66992.0,Testimonial,Static,Child,,UGC,NRI (PLA),Confidence,Student Outcomes,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New-Year_LeadGen_NA_Static-2026-Stands-for-Math-Confidence-221225,120236422200680278,2026-stands-for-math-confidence,2f18897caec780398575de8a2af86582,ai video math confidence,0.4,497868,61,61,32,23,21646.0,Graphic Explainer,Static,,,Static Graphic,NRI (BAU),Confidence | Foundation Building,Building Foundations | Student Outcomes,English
ANZ_FB_Leads_Conv_India-Expats_Australia_Static_W-Testimonial-NAPLAN_040226,120241643063810529,anz_fb_leads_conv_india-expats_australia_static_w-testimonia,,,0.0,482258,99,18,21,7,68894.0,Testimonial,Static,Parent,,Static Graphic,NRI (BAU),Grades & School,Student Outcomes,English
