canonical,ad_name,notion_id,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,visual_text_seen,confidence,notes
30-day-math-kangaroo-prep,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-30-Day-Math-Kangaroo-Prep-261225,3148897caec7805985add806bbf40eb4,1121428,39,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,"Build Math Kangaroo-Ready Thinking",Book a Free Class,"Is your child preparing for Math Kangaroo?","Build Math Kangaroo-Ready Thinking | Top Indian tutors | Book a Free Class",High,
india-best-math-tutors,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-180226,2f18897caec78088ada4dadb3ff74638,724384,7,Cultural,Top-Tutors,Trust-Badge,Anonymous,Foundation,Static-Graphic,English,"Trusted Indian Math Tutors for K-12 NRI Kids",Book a Free Class,"top 1% Indian tutors","Trusted Indian Math Tutors for K-12 NRI Kids | Rated 4.9 on Trustpilot | Top 1% Indian Tutors",High,
high-school-master-algebra-white- – copy,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_High_School_LeadGen_NA_Static-High-School-Master-Algebra-White-150126 – Copy,3148897caec780448dfac81e9d71577c,619526,18,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Topic-Algebra,Late-Stage-HS",Static-Graphic,English,"1:1 Online Math Tutoring for High School Kids",Book a Free Trial Class,"freeze when the numbers change... Algebra 1 and Algebra 2","1:1 Online Math Tutoring for High School Kids | Master Algebra 1 & 2 | Book a Free Trial Class",High,
o-strong-foundations_20-oct-2025,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_20-Oct-2025,2958897caec7805fba91cae7026816c3,573239,12,Anxiety,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Make Math a Strength, Not a Struggle",Book Your Free Class Today,"From confusion to confidence","Make Math a Strength Not a Struggle | 1:1 personalised online tutoring | Highest Rated in the US",High,
premium-ecom-brands_na_video_cuemath-hero-5-21s,MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_LP_Signup_Premium-Ecom-Brands_NA_Video_Cuemath-Hero-5-21s_111225,32f8897caec7809fb096d641ec1e4d6f,562566,39,Enrichment,Trust-Badge,Trust-Badge,Anonymous,Foundation,Static-Graphic,English,"Trusted by 200,000+ Families",Start with a free trial,"4.9 Rated on Trustpilot","Trusted by 200,000+ Families | 4.9 Rated on Trustpilot | 1:1 Math Learning Platform",High,Premium UAE creative reusing Asian Strong Foundation visual frame
high-school-master-algebra-white,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Static-High-School-Master-Algebra-White-150126,3148897caec780448dfac81e9d71577c,552788,14,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Topic-Algebra,Late-Stage-HS",Static-Graphic,English,"1:1 Online Math Tutoring for High School Kids",Book a Free Trial Class,"Algebra 1 and Algebra 2","Master Algebra | High School | 1:1 Tutoring | Book a Free Trial",High,
parents-believed-offline-was-better-31-oct-2025,MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Static-Parents-believed-offline-was-better-31-Oct-2025,,541359,5,System-diagnosis,Outcome-First,Free-Class,Named-parent,Personalization-Gap,Static-Graphic,English,"Parents believed offline was better",Book a Free Class,"offline was better","Parents believed offline was better | until they tried Cuemath 1:1",Medium,Notion match not located via search; tagged from ad name structure
herocut_05,Herocut_05_041225,,535938,8,Behavioral-Outcome,Outcome-First,Free-Class,Named-child,Confidence,UGC-polished,English,"Hero cut testimonial",Book a Free Class,Confidence,"Child testimonial hero cut — confidence narrative",Low,Notion not located; PLA NRI hero cut testimonial — inferred from creative_type=Testimonial
2026-stands-for-math-confidence,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New-Year_LeadGen_NA_Static-2026-Stands-for-Math-Confidence-221225,2ca8897caec780c0981acbf4d92ef9b9,497868,23,Academic-Outcome,Outcome-First,Offer-led,Anonymous,Confidence,Static-Graphic,English,"2026 Stands for Math Confidence","25% OFF for a limited time | Book a Free Class","turn math confusion into confidence","2026 Stands for Math Confidence | 1:1 online tutoring for strong math fundamentals | 25% Off",High,
anz_fb_leads_conv_india-expats_australia_static_w-testimonia,ANZ_FB_Leads_Conv_India-Expats_Australia_Static_W-Testimonial-NAPLAN_040226,3148897caec78012baaaf17b77aca7d1,482258,7,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN-level math assessments","NAPLAN Success Starts with Strong Maths Foundations | Vishal Sharma testimonial",High,
