variable,market,cell,ads,spend_inr,tds,weighted_cptd_inr,lift_pct_vs_market_baseline,bar_passes
badge_variant,US,trustpilot-stars,30,6142394,440,13975,23.0,YES
badge_variant,US,none,386,60982468,2170,28100,-54.8,YES
badge_variant,US,top-1pct,13,4038314,125,32413,-78.6,YES
badge_variant,ROW,trustpilot-stars,29,7101504,439,16164,14.9,YES
badge_variant,ROW,none,447,78462456,2815,27874,-46.7,YES
badge_variant,India,none,53,8509675,157,54267,-146.7,YES
master_frame,US,Memorization-vs-Understanding,10,1631351,112,14590,19.6,YES
master_frame,US,Competition-Prep,45,10351474,601,17217,5.2,YES
master_frame,US,Top-Tutors,35,10170814,428,23789,-31.0,YES
master_frame,US,1-1-Personalization,241,32535542,1126,28886,-59.1,YES
master_frame,US,Cultural-Relatability,9,2529186,78,32331,-78.1,YES
master_frame,US,Outcome-First,11,5217385,138,37785,-108.1,YES
master_frame,US,MathFit,48,5329224,138,38482,-112.0,YES
master_frame,ROW,Cultural-Relatability,7,1834989,93,19720,-3.8,YES
master_frame,ROW,MathFit,81,16909650,758,22305,-17.4,YES
master_frame,ROW,1-1-Personalization,247,30396088,1231,24689,-29.9,YES
master_frame,ROW,Outcome-First,62,27111604,892,30383,-59.9,YES
master_frame,ROW,Competition-Prep,18,2524584,80,31363,-65.1,YES
master_frame,ROW,Memorization-vs-Understanding,18,1482832,45,33074,-74.1,YES
master_frame,ROW,Top-Tutors,8,2328569,70,33205,-74.8,YES
master_frame,ROW,Unclear,28,2119052,27,79601,-319.0,YES
master_frame,India,1-1-Personalization,36,4610878,101,45669,-107.6,YES
master_frame,India,MathFit,18,2584296,53,49013,-122.8,YES
hook_frame,US,Competition,48,10662784,632,16863,7.1,YES
hook_frame,US,Academic-Outcome,54,11166128,635,17582,3.1,YES
hook_frame,US,Unclear,12,984952,44,22580,-24.4,YES
hook_frame,US,Enrichment,122,12168680,465,26196,-44.3,YES
hook_frame,US,Competition-Prep,27,2058381,71,28837,-58.9,YES
hook_frame,US,Anxiety,32,3096163,91,34205,-88.4,YES
hook_frame,US,Cultural,37,12456181,292,42717,-135.3,YES
hook_frame,US,Behavioral-Outcome,41,10772252,221,48641,-168.0,YES
hook_frame,ROW,Anxiety,33,4677020,305,15355,19.2,YES
hook_frame,ROW,Enrichment,62,14351567,674,21299,-12.1,YES
hook_frame,ROW,Academic-Outcome,41,5834885,273,21369,-12.5,YES
hook_frame,ROW,Outcome-First,20,4960798,207,23966,-26.1,YES
hook_frame,ROW,Unclear,78,6566541,270,24362,-28.2,YES
hook_frame,ROW,Future-readiness,11,4178840,153,27260,-43.5,YES
hook_frame,ROW,Competition,44,10019516,355,28229,-48.6,YES
hook_frame,ROW,Behavioral-Outcome,113,25072830,765,32762,-72.4,YES
hook_frame,ROW,Cultural,15,4006792,108,37075,-95.1,YES
hook_frame,ROW,Foundation,29,3210681,85,37650,-98.2,YES
hook_frame,ROW,System-diagnosis,12,2284092,31,72769,-283.0,YES
hook_frame,India,Academic-Outcome,10,652849,27,24536,-11.5,YES
hook_frame,India,Behavioral-Outcome,17,2580911,54,48054,-118.4,YES
hook_frame,India,Anxiety,8,703659,14,52057,-136.6,YES
hook_frame,India,Unclear,12,3163442,38,82877,-276.7,YES
mathfit_dimension,US,Application,65,13374271,707,18915,-4.2,YES
mathfit_dimension,US,Confidence,217,30628990,1191,25708,-41.6,YES
mathfit_dimension,US,Clarity,83,12634448,469,26953,-48.5,YES
mathfit_dimension,US,Unclear,64,14525472,367,39570,-118.0,YES
mathfit_dimension,ROW,Confidence,215,36523376,1466,24922,-31.2,YES
mathfit_dimension,ROW,Clarity,104,19990808,766,26109,-37.4,YES
mathfit_dimension,ROW,Unclear,117,26714376,956,27940,-47.1,YES
mathfit_dimension,ROW,Application,43,3830454,108,35338,-86.0,YES
mathfit_dimension,India,Clarity,10,994629,27,37333,-69.7,YES
mathfit_dimension,India,Unclear,14,3029802,55,55531,-152.4,YES
mathfit_dimension,India,Confidence,32,4604848,80,57921,-163.3,YES
creative_type,US,Static,141,32356806,1493,21676,-19.4,YES
creative_type,US,Video,268,36361288,1221,29780,-64.0,YES
creative_type,ROW,Video,302,60208012,2323,25913,-36.4,YES
creative_type,ROW,Static,176,26785908,970,27607,-45.3,YES
creative_type,India,Static,23,1598255,48,33016,-50.1,YES
creative_type,India,Video,36,7369702,127,58245,-164.7,YES
