ad_id,ad_name,market,asset_type,spend_inr,launch_date,currently_tagged,audience_segment,h_hook,h_hook_evidence,h_benefit,h_benefit_evidence,h_tone,h_tone_evidence,h_format,h_format_evidence,h_talent,h_talent_evidence,h_production,h_production_evidence,h_language,h_language_evidence,h_offer,h_offer_evidence,h_cta,h_cta_evidence,h_headline,h_headline_evidence,h_visual,h_visual_evidence,existing_hook,existing_benefit,existing_format,existing_production,human_rater,tagged_at
,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,US,Video,556831,2026-01-29,YES,Influencer (BAU),,,,,,,,,,,,,,,,,,,,,,,Social Proof,Grades & School,Testimonial,UGC,,
,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Video_Testimonial_Gunjan-20s_020126,US,Video,494793,2026-01-02,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,Social Proof,Parent Peace of Mind,Testimonial,UGC,,
,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_English-Generic-Content_NA_Video-Testimonial-Gunjan-13s_020126,US,Video,445803,2026-01-02,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,Social Proof,Grades & School,Testimonial,UGC,,
,USA_FB_Leads_Conv_LAL_Enrolled_35-55_LeadGen_NA_Video_Testimonial-Sameer-23s_020126,US,Video,391004,2026-01-02,YES,Lookalike (BAU),,,,,,,,,,,,,,,,,,,,,,,,,Testimonial,,,
,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_Math_Kangaroo_NA_Static_30-Day-Prep_180226,US,Static,231020,2026-02-18,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,Offer/Price,Competition Prep,Graphic Explainer,Static Graphic,,
,USA_FB_Leads_Conv_LAL_Enrolled_Signup_LP_Holi_Creatives_NA_Static_Color_Their_Future_200226,US,Static,202150,2026-02-20,YES,Lookalike (BAU),,,,,,,,,,,,,,,,,,,,,,,Outcome First,Confidence,Graphic Explainer,Static Graphic,,
,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,US,Video,392208,2026-02-18,NO,Influencer (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_Math_Kangaroo_NA_Static_30-Day-Prep_290126,US,Static,240975,2026-01-29,NO,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Static_W-Ch-Strong-Foundations_230226,US,Static,476263,2026-02-23,YES,Chinese (PLA),,,,,,,,,,,,,,,,,,,,,,,Feature-Driven,Foundation Building,Graphic Explainer,Static Graphic,,
,ANZ_FB_Leads_Conv_int4C_Australia_Video_Cuemath-Hero-5-21s_020326,AUS,Video,388125,2026-03-02,YES,Interest (BAU),,,,,,,,,,,,,,,,,,,,,,,Offer/Price,Foundation Building,Graphic Explainer,Static Graphic,,
,ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Testimonial-Lakshmi_170226,AUS,Video,221244,2026-02-17,YES,Interest (BAU),,,,,,,,,,,,,,,,,,,,,,,,,Testimonial,,,
,ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jugnu_200326,AUS,Video,203515,2026-03-20,YES,Influencer (BAU),,,,,,,,,,,,,,,,,,,,,,,Social Proof,Personalization,Testimonial,UGC,,
,ANZ_FB_Leads_Conv_India-Expats_Australia_Static_W-Testimonial-NAPLAN_040226,AUS,Static,482258,2026-02-04,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,Social Proof,Grades & School,Testimonial,Static Graphic,,
,ANZ_FB_Leads_Conv_India-Expats_Australia_Video_AI-Maths-Confidence_250226,AUS,Video,73305,2026-02-25,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,AI Generated,,
,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Cuemath-Hero-5-21s_020326,AUS,Video,155012,2026-03-02,NO,Lookalike (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_LP_Signup_Premium-Ecom-Brands_NA_Video_Cuemath-Hero-5-21s_111225,MEA,Video,648708,2025-12-11,YES,"MEA_AKT_FB_Leads_Conv_UAE_High_ROAS_Crea (BAU, unclassified)",,,,,,,,,,,,,,,,,,,,,,,Outcome First,Grades & School,Graphic Explainer,Static Graphic,,
,MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_NA_Video_Cuemath-Hero-5-21s_100226,MEA,Video,573789,2026-02-10,YES,Geo (BAU),,,,,,,,,,,,,,,,,,,,,,,Outcome First,Foundation Building,Graphic Explainer,Static Graphic,,
,MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_NA_Video_Cuemath-Hero-5-21s_010426,MEA,Video,169623,2026-04-01,NO,Geo (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MEA_AKT_FB_Leads_Conv_HNIs_LP_Signup_Generic_Creatives_LP_Signup_NA_Video_Cuemath-Hero-5-21s_180226,MEA,Video,135977,2026-02-18,NO,HNI (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Testimonial-Gunjan-Video-V2_100226,UK,Video,310723,2026-02-10,YES,Interest (BAU),,,,,,,,,,,,,,,,,,,,,,,Offer/Price,Foundation Building,Testimonial,UGC,,
,ANZ-UK_FB_Leads_Conv_India-Expats_UK_Static_O-Classroom-Maths_050226,UK,Static,141944,2026-02-05,NO,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANZ-UK_FB_Leads_Conv_int4C_UK_Static_O-Classroom-Maths_050226,UK,Static,61533,2026-02-05,NO,Interest (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_LeadGen_NA_Video_Testimonial-Sameer-23s_020126,India,Video,155127,2026-01-02,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,,,Testimonial,,,
,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NA_Video_Testimonial-Gunjan-13s_020126,India,Video,114697,2026-01-02,YES,NRI (BAU),,,,,,,,,,,,,,,,,,,,,,,Outcome First,Grades & School,Testimonial,UGC,,
,Ind_FB_Engaged-Shoppers_Slotbook_Static_Y-Tutoring-Strong-Foundation_230326,India,Static,173003,2026-03-23,NO,Interest (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ind_FB_Premium+Parents+Income_Slotbook_Static_O-Ace-Math-Olympiad_230326,India,Static,150267,2026-03-23,NO,HNI (BAU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
