market,rank,creative_name,ad_name,adset_name,QL,TQL,TD,CPTQL,CPTD,CTR,CPC,spend,content_format,creative_type,talent_type,production_style,campaign_audience,pain_benefit,language,thumbnail_url
AUS,1,Video_Tamil-Parent-Shoot-in-English,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Video_Tamil-Parent-Shoot-in-English_230126,ANZ_PFX_FB_Leads_Conv_LAL_PayU_Combined_35-55_Australia_LeadGen_101025,20.0,15.0,9.0,6322.0,10537.0,0.78,211.0,94832.0,Testimonial,Video,Parent,UGC,"ANZ_PFX_FB_Leads_Conv_Combined_LeadGen_0 (BAU, unclassified)",Grades & School,Tamil,
AUS,2,Static_W-NAPLAN-Boost-Math,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-Boost-Math_291225,ANZ_PFX_FB_Leads_Conv_LAL_PayU_Combined_35-55_Australia_LeadGen_101025,13.0,9.0,7.0,8205.0,10550.0,0.51,343.0,73848.0,Graphic Explainer,Static,None,Static Graphic,PLA,Grades & School,English,
AUS,3,Int-4C_Australia_Video_Testimonial-Mohit-Kukreja,ANZ_FB_Leads_Conv_Int-4C_Australia_Video_Testimonial-Mohit-Kukreja_060126,ANZ_FB_Leads_Conv_Int-4C_Australia_LeadGen_050126,35.0,20.0,12.0,9437.0,15729.0,0.59,179.0,188746.0,Testimonial,Video,Parent,UGC,NRI (BAU),Confidence | Grades & School | Foundation Building,English,
AUS,4,Parents-All-Pri+Sec_Australia_Static_Y-Testimonial-Vishal,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_Y-Testimonial-Vishal_020326,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Form_Static-Testimonials_020326,33.0,20.0,13.0,10181.0,15663.0,0.85,121.0,203619.0,Testimonial,Static,Parent,Static Graphic,General (BAU),Grades & School,English,https://scontent-bom5-1.xx.fbcdn.net/v/t45.1600-4/644962917_2997381277122673_2126119860809842561_n.png?_nc_cat=109&ccb=1-7&_nc_ohc=uLxC1slC0x0Q7kNvwHmRqsJ&_nc_oc=AdrMMGlAat1BPZWQY2ECsfvac5hTbC-64KGh3U0-WLo0O-ngObOEiZL305W0KeM-_BE&_nc_zt=1&_nc_ht=scontent-bom5-1.xx&edm=AOgd6ZUEAAAA&_nc_gid=aYg1Vy3IT5Aof0o-g5QJJg&_nc_tpa=Q5bMBQEwtMghkVC3_f81GKQG6XY5J9bNsak6KSbZ7sauff4DkLwEFtTQ7PW7V3YJ0YoHK9QCSM-PuSV8&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af04mQGcz606Re6UP3t4TRzLYwy2XQfPbe9FronXk2Pguw&oe=69DD35F0
AUS,5,Static_NAPLAN-Chinese,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Static_NAPLAN-Chinese_061125,ANZ_PFX_FB_Leads_Conv_LAL_0to2%AllQLs_35-55_Australia_LeadGen_011125,13.0,7.0,5.0,11251.0,15752.0,0.86,291.0,78760.0,Graphic Explainer,Static,None,Static Graphic,PLA,Grades & School,English,
AUS,6,Parents-Pri+Sec-Inf_Australia_Video_Influencer-Kanika,ANZ_FB_Leads_Conv_Parents-Pri+Sec-Inf_Australia_Video_Influencer-Kanika_090226,ANZ_FB_Leads_Conv_Parents-Pri+Sec_Australia_Form_Influencer_090226,15.0,9.0,4.0,9949.0,22384.0,0.66,249.0,89538.0,Testimonial,Video,Influencer,UGC,Influencer (BAU),Personalization,English,https://scontent-bom5-2.xx.fbcdn.net/v/t15.5256-10/629458580_1416491736589418_3363163644874248487_n.jpg?_nc_cat=100&ccb=1-7&_nc_ohc=n88sygzN9zoQ7kNvwG1udp1&_nc_oc=AdpQZkI_7vviWcZIGWb8De9ncSpoxpEKkX68Dv7gl_lsN8gSRbnMBFXKu5ckrjuU_30&_nc_zt=23&_nc_ht=scontent-bom5-2.xx&edm=AAwGEdEEAAAA&_nc_gid=J0hsbBkpgUidPHIbc7k0XA&_nc_tpa=Q5bMBQF8L7DAx4SlK5cABgdVnxU2t7h-dh_cl58ViZ7t3NEvfs2ICeULVM8u134BJBSaNkKequH3083h&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=b696e2&_nc_sid=58080a&oh=00_Af1pjnesFpCOKbfFj3POpKFqRXDBer3WJFJX7_GlLANBdQ&oe=69DD1F82
AUS,7,LAL-PayU_Australia_Video_Tamil-Parent-Shoot-in-English,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Tamil-Parent-Shoot-in-English_020326,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Form_Shoot-2-Videos_020326,14.0,10.0,8.0,12891.0,16114.0,0.51,311.0,128908.0,Testimonial,Video,Parent,Studio,Lookalike (BAU),Grades & School,Tamil,
AUS,8,India-Expats_Australia_Video_Cuemath-Hero-5-21s,ANZ_FB_Leads_Conv_India-Expats_Australia_Video_Cuemath-Hero-5-21s_061125,ANZ_FB_Leads_Conv_India-Expats_Australia_LeadGen_050126,36.0,14.0,9.0,12621.0,19633.0,0.65,246.0,176699.0,Product Demo,Video,None,Animated,NRI (BAU),Grades & School,English,
AUS,9,35-55_Australia_Static_W-NAPLAN-Start-Summer,ANZ_PFX_FB_Leads_Conv_Int_All-Expats_35-55_Australia_Static_W-NAPLAN-Start-Summer_210126,ANZ_PFX_FB_Leads_Conv_Int_All-Expats_35-55_Australia_LeadGen_251125,43.0,21.0,15.0,14164.0,19830.0,0.85,359.0,297452.0,Graphic Explainer,Static,None,Static Graphic,General (BAU),Grades & School,English,https://scontent-bom2-3.xx.fbcdn.net/v/t45.1600-4/614978548_2949876585206476_4791063017532058424_n.png?_nc_cat=101&ccb=1-7&_nc_ohc=swrvtKpIA3UQ7kNvwHGZwoP&_nc_oc=AdrmOFILbwCMJV-7X3MpZcKjOCL5ip56w6DaEIVy_tKpT9H21G89RcMK_MSRDd45oBc&_nc_zt=1&_nc_ht=scontent-bom2-3.xx&edm=AOgd6ZUEAAAA&_nc_gid=3EqyFkhd5tAFkIkcxLUunw&_nc_tpa=Q5bMBQEf8dmoYaPqJV4jl_BW4ZqLzI0XtdC7qjH9bz5_YE4Ozi2LR2x86HYIpz-hxddwB3JouSPW6Pw9&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75_tt6&ur=52f3c4&_nc_sid=58080a&oh=00_Af02ImIHOTKoUsnS9B0_UGJXeleE0hzFbd_fVeVtZ02Z6A&oe=69DD2320
AUS,10,Static_W-NAPLAN-2026-Ready,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-2026-Ready_241225,ANZ_PFX_FB_Leads_Conv_LAL_PayU_Combined_35-55_Australia_LeadGen_101025,10.0,6.0,4.0,14283.0,21425.0,0.66,286.0,85700.0,Graphic Explainer,Static,None,Static Graphic,PLA,Grades & School,English,
